,state_name,county,city,hour_of_crash,day_of_crash,month_of_crash,light_condition_name,atmospheric_conditions_1_name,number_of_fatalities,number_of_drunk_drivers,timestamp_of_crash,national_highway_system,latitude,longitude
29387,Missouri,189,7890,18,29,4,Daylight,Clear,1,1,2015-04-29 18:05:00+00:00,1,38.6501,-90.30724722
29388,Ohio,153,1720,18,1,5,Daylight,Clear,1,0,2015-05-01 18:50:00+00:00,0,40.91651389,-81.64342222
29389,Utah,57,1350,22,12,9,Dark – Not Lighted,Clear,1,1,2015-09-12 22:38:00+00:00,0,41.23344722,-111.94573333
29390,Illinois,31,7330,4,8,3,Dark – Lighted,Clear,1,1,2015-03-08 04:45:00+00:00,0,41.90800556,-87.82429444
29391,California,85,3340,2,7,9,Dark – Lighted,Clear,1,1,2015-09-07 02:33:00+00:00,0,37.27531389,-121.87935278
29392,California,93,0,0,1,1,Dark – Lighted,Clear,1,1,2015-01-01 00:41:00+00:00,0,41.22343889,-122.27587222
29393,Texas,141,2190,22,10,5,Dark – Not Lighted,Clear,2,1,2015-05-10 22:40:00+00:00,1,31.67808889,-106.33524722
29394,Ohio,173,0,6,6,3,Dark – Not Lighted,Clear,2,1,2015-03-06 06:20:00+00:00,0,41.37395278,-83.57151944
29395,Kansas,79,0,99,12,10,Dark – Not Lighted,Clear,1,0,2015-10-12 00:00:00+00:00,0,38.14493611,-97.62657778
29396,Maine,23,350,17,29,5,Daylight,Clear,1,0,2015-05-29 17:23:00+00:00,0,43.91213889,-69.83376111
29397,Ohio,93,6025,2,16,5,Dark – Lighted,Clear,1,1,2015-05-16 02:39:00+00:00,0,41.39447222,-82.05830278
29398,Louisiana,71,1690,22,30,9,Dark – Lighted,Clear,1,0,2015-09-30 22:08:00+00:00,9,30.00461389,-90.02230556
29399,Kansas,161,3490,15,23,5,Daylight,Rain,1,0,2015-05-23 15:29:00+00:00,0,39.156825,-96.61733889
29400,Missouri,189,4220,23,28,11,Dark – Not Lighted,Rain,1,0,2015-11-28 23:14:00+00:00,0,38.74566944,-90.32519722
29401,Illinois,93,6620,13,13,12,Daylight,Rain,1,0,2015-12-13 13:51:00+00:00,0,41.64808333,-88.3821
29402,Missouri,510,7080,6,8,1,Dark – Not Lighted,Other,1,1,2015-01-08 06:45:00+00:00,0,38.68339722,-90.22892222
29403,Texas,29,6090,2,2,1,Dark – Lighted,Rain,1,1,2015-01-02 02:29:00+00:00,1,29.42930833,-98.53950556
29404,Texas,61,6110,1,8,12,Dark – Lighted,"Fog, Smog, Smoke",1,1,2015-12-08 01:28:00+00:00,0,26.11571389,-97.60815
29405,Connecticut,7,332,22,2,12,Dark – Not Lighted,Unknown,1,1,2015-12-02 22:34:00+00:00,0,41.32493889,-72.59294722
29406,Arkansas,31,2070,16,26,10,Daylight,Rain,1,0,2015-10-26 16:45:00+00:00,0,35.80704722,-90.59848611
29407,New York,85,4170,10,24,3,Daylight,Cloudy,1,0,2015-03-24 10:47:00+00:00,0,40.53988056,-74.18691389
29408,Ohio,57,7810,8,9,7,Daylight,Cloudy,1,0,2015-07-09 08:53:00+00:00,0,39.59303611,-84.02226111
29409,California,13,3010,18,14,3,Dusk,Cloudy,1,0,2015-03-14 18:20:00+00:00,0,37.91819722,-122.33697222
29410,Oregon,43,20,17,17,2,Dusk,Clear,1,0,2015-02-17 17:41:00+00:00,0,44.61743333,-123.13149444
29411,Florida,111,2601,17,7,6,Daylight,Clear,1,1,2015-06-07 17:50:00+00:00,0,27.29249444,-80.30560556
29412,Florida,99,210,1,28,10,Dark – Not Lighted,Clear,1,0,2015-10-28 01:35:00+00:00,0,26.67985,-80.65351944
29413,Florida,89,0,19,28,11,Dusk,Clear,2,1,2015-11-28 19:05:00+00:00,0,30.73253611,-81.892225
29414,Florida,86,0,6,29,9,Dawn,Clear,1,0,2015-09-29 06:58:00+00:00,0,25.49359444,-80.4776
29415,Florida,105,1690,3,22,3,Dark – Lighted,Clear,1,1,2015-03-22 03:09:00+00:00,0,27.995625,-81.96105833
29416,Tennessee,65,400,14,26,6,Daylight,Clear,1,0,2015-06-26 14:41:00+00:00,0,35.04691944,-85.23503889
29417,Alabama,97,2550,13,23,7,Daylight,Clear,1,1,2015-07-23 13:58:00+00:00,0,30.79723889,-88.15143889
29418,Oklahoma,109,3550,9,1,12,Daylight,Clear,1,0,2015-12-01 09:51:00+00:00,0,35.60956667,-97.40718333
29419,North Carolina,129,5060,0,2,2,Dark – Lighted,Cloudy,1,1,2015-02-02 00:59:00+00:00,0,34.16821667,-77.92105
29420,Texas,485,7490,19,6,12,Dark – Lighted,Clear,1,1,2015-12-06 19:56:00+00:00,0,33.91383611,-98.46841389
